Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
4,BubbleSortUntilNoChange,int,1000,bestCase,99,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,100,0.00
5,BubbleSortUntilNoChange,int,1000,worstCase,1,1.84
5,BubbleSortUntilNoChange,int,1000,worstCase,2,1.73
5,BubbleSortUntilNoChange,int,1000,worstCase,3,1.83
5,BubbleSortUntilNoChange,int,1000,worstCase,4,1.88
5,BubbleSortUntilNoChange,int,1000,worstCase,5,1.74
5,BubbleSortUntilNoChange,int,1000,worstCase,6,1.83
5,BubbleSortUntilNoChange,int,1000,worstCase,7,2.46
5,BubbleSortUntilNoChange,int,1000,worstCase,8,2.41
5,BubbleSortUntilNoChange,int,1000,worstCase,9,1.90
5,BubbleSortUntilNoChange,int,1000,worstCase,10,1.99
5,BubbleSortUntilNoChange,int,1000,worstCase,11,1.94
5,BubbleSortUntilNoChange,int,1000,worstCase,12,1.92
5,BubbleSortUntilNoChange,int,1000,worstCase,13,1.97
5,BubbleSortUntilNoChange,int,1000,worstCase,14,2.42
5,BubbleSortUntilNoChange,int,1000,worstCase,15,1.83
5,BubbleSortUntilNoChange,int,1000,worstCase,16,2.59
5,BubbleSortUntilNoChange,int,1000,worstCase,17,1.70
5,BubbleSortUntilNoChange,int,1000,worstCase,18,1.70
5,BubbleSortUntilNoChange,int,1000,worstCase,19,1.73
5,BubbleSortUntilNoChange,int,1000,worstCase,20,1.79
5,BubbleSortUntilNoChange,int,1000,worstCase,21,1.84
5,BubbleSortUntilNoChange,int,1000,worstCase,22,1.85
5,BubbleSortUntilNoChange,int,1000,worstCase,23,1.90
5,BubbleSortUntilNoChange,int,1000,worstCase,24,1.91
5,BubbleSortUntilNoChange,int,1000,worstCase,25,2.54
5,BubbleSortUntilNoChange,int,1000,worstCase,26,1.76
5,BubbleSortUntilNoChange,int,1000,worstCase,27,1.75
5,BubbleSortUntilNoChange,int,1000,worstCase,28,1.68
5,BubbleSortUntilNoChange,int,1000,worstCase,29,1.70
5,BubbleSortUntilNoChange,int,1000,worstCase,30,1.76
5,BubbleSortUntilNoChange,int,1000,worstCase,31,1.76
5,BubbleSortUntilNoChange,int,1000,worstCase,32,1.75
5,BubbleSortUntilNoChange,int,1000,worstCase,33,1.80
5,BubbleSortUntilNoChange,int,1000,worstCase,34,2.02
5,BubbleSortUntilNoChange,int,1000,worstCase,35,1.83
5,BubbleSortUntilNoChange,int,1000,worstCase,36,1.78
5,BubbleSortUntilNoChange,int,1000,worstCase,37,1.81
5,BubbleSortUntilNoChange,int,1000,worstCase,38,1.76
